u,d,s
102.0,2018-10-20,6800
102.0,2018-10-20,3000
102.0,2018-10-20,6800
102.0,2018-10-20,6800
102.0,2018-10-20,4320
102.0,2018-10-20,7640
102.0,2018-10-20,2160
102.0,2018-10-20,3000
102.0,2018-10-20,11984
102.0,2018-10-20,6480
102.0,2018-10-20,6800
102.0,2018-10-21,5400
102.0,2018-10-21,8640
102.0,2018-10-21,0
102.0,2018-10-21,0
102.0,2018-10-21,6804
102.0,2018-10-21,12060
102.0,2018-10-21,8964
102.0,2018-10-21,0
102.0,2018-10-21,2160
102.0,2018-10-21,5400
102.0,2018-10-21,2700
102.0,2018-10-21,9072
102.0,2018-10-22,45000
102.0,2018-10-22,6804
102.0,2018-10-22,8640
102.0,2018-10-22,0
102.0,2018-10-22,7000
102.0,2018-10-22,7124
102.0,2018-10-22,8640
102.0,2018-10-22,6500
102.0,2018-10-22,8300
102.0,2018-10-24,0
102.0,2018-10-24,15444
102.0,2018-10-24,8300
102.0,2018-10-24,5080
102.0,2018-10-24,7124
102.0,2018-10-24,6700
102.0,2018-10-24,8640
102.0,2018-10-24,6480
102.0,2018-10-24,8000
102.0,2018-10-25,8640
102.0,2018-10-25,0
102.0,2018-10-25,7560
102.0,2018-10-25,5200
102.0,2018-10-25,4300
102.0,2018-10-26,0
102.0,2018-10-26,6840
102.0,2018-10-26,0
33.0,2018-10-26,0
102.0,2018-10-26,8964
102.0,2018-10-26,0
102.0,2018-10-26,0
102.0,2018-10-26,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,0
33.0,2018-10-27,4000
33.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-27,0
102.0,2018-10-28,0
102.0,2018-10-28,4900
102.0,2018-10-28,6912
102.0,2018-10-28,6340
102.0,2018-10-28,3000
102.0,2018-10-28,12688
102.0,2018-10-28,5184
102.0,2018-10-28,8648
102.0,2018-10-28,4600
102.0,2018-10-28,4900
33.0,2018-10-29,2600
33.0,2018-10-29,1200
33.0,2018-10-29,1200
33.0,2018-10-29,51200
33.0,2018-10-29,2400
33.0,2018-10-29,147260363
33.0,2018-10-29,147258963
33.0,2018-10-29,147258963
33.0,2018-10-29,147308963
33.0,2018-10-29,147260163
33.0,2018-10-29,2500
33.0,2018-10-29,1100
33.0,2018-10-29,1100
33.0,2018-10-29,51100
33.0,2018-10-29,2300
33.0,2018-10-29,1400
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,50000
33.0,2018-10-29,1200
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-29,0
33.0,2018-10-30,2300
33.0,2018-10-30,8300
33.0,2018-10-30,4300
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,2300
33.0,2018-10-30,2300
33.0,2018-10-30,2300
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,4800
33.0,2018-10-30,2500
33.0,2018-10-30,2300
33.0,2018-10-30,0
33.0,2018-10-30,2300
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-30,0
33.0,2018-10-31,12000
33.0,2018-10-31,12000
33.0,2018-10-31,5000
33.0,2018-10-31,5000
33.0,2018-10-31,1300
33.0,2018-10-31,1300
33.0,2018-10-31,3300
33.0,2018-10-31,3300
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,5500
33.0,2018-10-31,5500
33.0,2018-10-31,4600
33.0,2018-10-31,2100
33.0,2018-10-31,2100
33.0,2018-10-31,125956
33.0,2018-10-31,123456
33.0,2018-10-31,123456
33.0,2018-10-31,2500
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,2500
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,2300
33.0,2018-10-31,0
33.0,2018-10-31,10368
33.0,2018-10-31,9064
33.0,2018-10-31,130
33.0,2018-10-31,10498
33.0,2018-10-31,9194
33.0,2018-10-31,435234
33.0,2018-10-31,0
33.0,2018-10-31,6900
33.0,2018-10-31,6900
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
33.0,2018-10-31,0
102.0,2018-11-01,8948
33.0,2018-11-01,12000
33.0,2018-11-01,12000
33.0,2018-11-01,12000
33.0,2018-11-01,12000
33.0,2018-11-01,12300
33.0,2018-11-01,12300
33.0,2018-11-01,12300
33.0,2018-11-01,12300
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,4500
33.0,2018-11-01,4500
33.0,2018-11-01,4500
33.0,2018-11-01,4500
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,5500
33.0,2018-11-01,2100
33.0,2018-11-01,4100
33.0,2018-11-01,3400
33.0,2018-11-01,0
33.0,2018-11-01,2000
33.0,2018-11-01,0
33.0,2018-11-01,0
102.0,2018-11-01,8000
102.0,2018-11-01,6912
102.0,2018-11-01,21600
102.0,2018-11-01,3900
33.0,2018-11-01,5000
33.0,2018-11-01,5000
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
33.0,2018-11-01,0
102.0,2018-11-01,9404
33.0,2018-11-01,2300
33.0,2018-11-01,0
33.0,2018-11-01,2000
33.0,2018-11-01,3300
33.0,2018-11-01,5200
33.0,2018-11-01,2000
33.0,2018-11-01,4400
33.0,2018-11-01,5700
33.0,2018-11-01,7600
33.0,2018-11-01,4400
102.0,2018-11-01,7776
102.0,2018-11-01,9396
102.0,2018-11-01,324
33.0,2018-11-01,100
33.0,2018-11-01,200
33.0,2018-11-01,200
33.0,2018-11-01,400
33.0,2018-11-01,600
33.0,2018-11-01,600
33.0,2018-11-01,1200
33.0,2018-11-01,200
33.0,2018-11-01,800
33.0,2018-11-01,300
33.0,2018-11-01,260
33.0,2018-11-02,200
102.0,2018-11-02,5500
102.0,2018-11-02,7556
33.0,2018-11-02,3000
33.0,2018-11-02,2000
33.0,2018-11-02,2000
102.0,2018-11-02,8300
102.0,2018-11-02,5180
102.0,2018-11-02,8872
102.0,2018-11-02,6480
102.0,2018-11-02,6800
33.0,2018-11-02,0
33.0,2018-11-02,0
102.0,2018-11-02,8100
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,680
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,0
33.0,2018-11-02,4000
33.0,2018-11-02,0
102.0,2018-11-03,8640
102.0,2018-11-03,5500
102.0,2018-11-03,23004
102.0,2018-11-03,4500
102.0,2018-11-03,7000
102.0,2018-11-03,8640
102.0,2018-11-03,4324
102.0,2018-11-03,5500
102.0,2018-11-03,6300
102.0,2018-11-03,3500
102.0,2018-11-03,0
102.0,2018-11-03,324
33.0,2018-11-03,0
33.0,2018-11-03,5000
102.0,2018-11-04,8640
102.0,2018-11-04,6500
102.0,2018-11-04,208640
102.0,2018-11-04,4800
102.0,2018-11-04,4800
102.0,2018-11-04,4300
102.0,2018-11-04,6800
102.0,2018-11-05,6480
102.0,2018-11-05,6800
102.0,2018-11-05,6800
102.0,2018-11-05,8067
102.0,2018-11-05,8640
102.0,2018-11-05,8756
33.0,2018-11-26,4545
33.0,2018-11-26,0
33.0,2018-11-15,0
33.0,2018-12-24,0
102.0,2018-11-05,8640
102.0,2018-11-05,2160
102.0,2018-11-05,15120
33.0,2018-11-05,2600
33.0,2018-11-05,53753
33.0,2018-11-05,3100
33.0,2018-11-05,2600
33.0,2018-11-05,53753
33.0,2018-11-05,3100
33.0,2018-11-05,2600
33.0,2018-11-05,53753
33.0,2018-11-05,3100
33.0,2018-11-05,3411
33.0,2018-11-05,54564
33.0,2018-11-05,3911
33.0,2018-11-05,4430
33.0,2018-11-05,55583
33.0,2018-11-05,4930
33.0,2018-11-05,5000
33.0,2018-11-06,0
102.0,2018-11-06,9180
102.0,2018-11-06,8856
102.0,2018-11-06,3500
102.0,2018-11-06,3000
102.0,2018-11-06,8640
102.0,2018-11-06,9288
102.0,2018-11-06,6480
102.0,2018-11-07,8208
102.0,2018-11-07,8640
102.0,2018-11-07,7016
102.0,2018-11-07,8640
102.0,2018-11-07,14480
102.0,2018-11-07,3500
102.0,2018-11-07,7560
102.0,2018-11-07,12960
33.0,2018-11-07,7878
33.0,2018-11-07,0
102.0,2018-11-07,12552
102.0,2018-11-07,7236
102.0,2018-11-08,5680
102.0,2018-11-08,14144
102.0,2018-11-08,7664
102.0,2018-11-08,11880
102.0,2018-11-08,7560
102.0,2018-11-08,7772
102.0,2018-11-08,8300
102.0,2018-11-09,5184
102.0,2018-11-09,8549
102.0,2018-11-10,7664
102.0,2018-11-10,8964
102.0,2018-11-10,6700
102.0,2018-11-10,2800
102.0,2018-11-10,7344
102.0,2018-11-10,8340
102.0,2018-11-10,6600
102.0,2018-11-10,7124
102.0,2018-11-10,9504
102.0,2018-11-12,8640
102.0,2018-11-12,8640
102.0,2018-11-12,8964
102.0,2018-11-12,4900
102.0,2018-11-12,5940
102.0,2018-11-12,8160
102.0,2018-11-12,7344
102.0,2018-11-12,7344
33.0,2018-11-12,8400
102.0,2018-11-12,0
102.0,2018-11-12,6380
102.0,2018-11-13,0
102.0,2018-11-14,8300
102.0,2018-11-14,3500
102.0,2018-11-14,7000
33.0,2018-11-14,0
102.0,2018-11-14,7344
102.0,2018-11-14,5980
33.0,2018-11-14,3000
102.0,2018-11-15,7672
102.0,2018-11-15,0
102.0,2018-11-15,18360
102.0,2018-11-15,6800
102.0,2018-11-15,7560
102.0,2018-11-15,7560
102.0,2018-11-15,7776
102.0,2018-11-15,8316
102.0,2018-11-15,3780
102.0,2018-11-15,6696
102.0,2018-11-15,3780
102.0,2018-11-16,5300
102.0,2018-11-16,3024
102.0,2018-11-16,8640
102.0,2018-11-16,2160
102.0,2018-11-16,8640
102.0,2018-11-16,7430
102.0,2018-11-16,4500
102.0,2018-11-16,6380
102.0,2018-11-16,5500
102.0,2018-11-16,7020
102.0,2018-11-16,6156
102.0,2018-11-16,4800
102.0,2018-11-16,2700
33.0,2018-11-16,4500
102.0,2018-11-17,1590
102.0,2018-11-17,7776
102.0,2018-11-17,6480
102.0,2018-11-17,7776
102.0,2018-11-17,6480
102.0,2018-11-17,0
102.0,2018-11-17,4320
